target	name	mz	ppm	rt.min	rt.max	samples	threshold	known.alternatives	C13	N15	H2	event	interactive
posAPL-50 PEG: C18 H33 N3 O9	posAPL-50 PEG: C18 H33 N3 O9	436.229525	15	1	40	15	1.00E+07	TBC	0	0	0	1	yes
posAPL-50 PEG: C26 H39 N3 O12	posAPL-50 PEG: C26 H39 N3 O12	586.261225	15	1	40	15	1.00E+07	TBC	0	0	0	1	yes
posAPL-50 PEG: C29 H44 N4 O12	posAPL-50 PEG: C29 H44 N4 O12	641.303425	15	1	40	15	1.00E+07	TBC	0	0	0	1	yes
posBR-240: C24 H25 N3 O2	posBR-240: C24 H25 N3 O2	388.202525	15	1	40	15	1.00E+07	TBC	0	0	0	1	yes
posBR-240: C3 H5 NO	posBR-240: C3 H5 NO	72.044935	15	1	40	15	1.00E+07	TBC	0	0	0	1	yes
posBR-240: C28 H31 N4 O2+	posBR-240: C28 H31 N4 O2+	455.2447	15	1	40	15	1.00E+07	TBC	0	0	0	1	yes
posECF B3.1: C26 H37 N8 O3	posECF B3.1: C26 H37 N8 O3	510.306725	15	1	40	15	1.00E+07	TBC	0	0	0	1	yes
posECF B3.1: C6 H15 N	posECF B3.1: C6 H15 N	102.128225	15	1	40	15	1.00E+07	TBC	0	0	0	1	yes
posECF B3.2: C26 H37 N8 O3	posECF B3.2: C26 H37 N8 O3	510.306725	15	1	40	15	1.00E+07	TBC	0	0	0	1	yes
posECF B3.2: C6 H15 N	posECF B3.2: C6 H15 N	102.128225	15	1	40	15	1.00E+07	TBC	0	0	0	1	yes
posBR-246: C24 H28 Cl N3 O4	posBR-246: C24 H28 Cl N3 O4	458.184625	15	1	40	15	1.00E+07	TBC	0	0	0	1	yes
posGA060 A: C7 H9 B O3	posGA060 A: C7 H9 B O3	153.072325	15	1	40	15	1.00E+07	TBC	0	0	0	1	yes
posGA060 A: C7 H4 F3 N O5 S	posGA060 A: C7 H4 F3 N O5 S	271.984025	15	1	40	15	1.00E+07	TBC	0	0	0	1	yes
posGA060 A: C13 H11 N O3	posGA060 A: C13 H11 N O3	271.984025	15	1	40	15	1.00E+07	TBC	0	0	0	1	yes
posGA060 A: C7 H8 O2	posGA060 A: C7 H8 O2	230.081725	15	1	40	15	1.00E+07	TBC	0	0	0	1	yes
posGA060 A: C6 H5 N O3	posGA060 A: C6 H5 N O3	140.034725	15	1	40	15	1.00E+07	TBC	0	0	0	1	yes
